hash,author,author_date,committer,committer_date,msg,parents,num_of_files,num_of_modified_java_files,modified_java_file_name,change_type,changed_methods,added_lines,deleted_lines,nloc,file_old_path,file_new_path,jira issue key,summary,issue type,status,resolution
49df83899543586bbcaf80f01399ade031cf68b0,Steve Loughran,2020-01-09 18:22:04+00:00,Steve Loughran,2020-01-10 11:11:56+00:00,"HADOOP-16697. Tune/audit S3A authoritative mode.

Contains:

HADOOP-16474. S3Guard ProgressiveRenameTracker to mark destination
              dirirectory as authoritative on success.
HADOOP-16684. S3guard bucket info to list a bit more about
              authoritative paths.
HADOOP-16722. S3GuardTool to support FilterFileSystem.

This patch improves the marking of newly created/import directory
trees in S3Guard DynamoDB tables as authoritative.

Specific changes:

 * Renamed directories are marked as authoritative if the entire
   operation succeeded (HADOOP-16474).
 * When updating parent table entries as part of any table write,
   there's no overwriting of their authoritative flag.

s3guard import changes:

* new -verbose flag to print out what is going on.

* The ""s3guard import"" command lets you declare that a directory tree
is to be marked as authoritative

  hadoop s3guard import -authoritative -verbose s3a://bucket/path

When importing a listing and a file is found, the import tool queries
the metastore and only updates the entry if the file is different from
before, where different == new timestamp, etag, or length. S3Guard can get
timestamp differences due to clock skew in PUT operations.

As the recursive list performed by the import command doesn't retrieve the
versionID, the existing entry may in fact be more complete.
When updating an existing due to clock skew the existing version ID
is propagated to the new entry (note: the etags must match; this is needed
to deal with inconsistent listings).

There is a new s3guard command to audit a s3guard bucket/path's
authoritative state:

  hadoop s3guard authoritative -check-config s3a://bucket/path

This is primarily for testing/auditing.

The s3guard bucket-info command also provides some more details on the
authoritative state of a store (HADOOP-16684).

Change-Id: I58001341c04f6f3597fcb4fcb1581ccefeb77d91",['9da294a140a919d9ba648637d09340bccfd5edd6'],32.0,30.0,,,,,,,,,HADOOP-16697,audit/tune s3a authoritative flag in s3guard DDB Table,Sub-task,Resolved,Fixed
,,,,,,,,,AbstractContractRenameTest.java,ModificationType.MODIFY,['AbstractContractRenameTest::testRenameWithNonEmptySubDir'],4.0,1.0,210.0,,hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\fs\contract\AbstractContractRenameTest.java,,,,,
,,,,,,,,,AbstractFSContractTestBase.java,ModificationType.MODIFY,"['AbstractFSContractTestBase::getMethodName', 'AbstractFSContractTestBase::teardown', 'AbstractFSContractTestBase::nameThread', 'AbstractFSContractTestBase::setup']",11.0,0.0,162.0,,hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\fs\contract\AbstractFSContractTestBase.java,,,,,
,,,,,,,,,S3AFileStatus.java,ModificationType.MODIFY,['S3AFileStatus::setVersionId'],8.0,0.0,110.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\S3AFileStatus.java,,,,,
,,,,,,,,,S3AFileSystem.java,ModificationType.MODIFY,"['S3AFileSystem::allowAuthoritative', 'S3AFileSystem::rename', 'S3AFileSystem::finishedWrite', 'S3AFileSystem::innerGetFileStatus', 'S3AFileSystem::stopAllServices']",19.0,11.0,2631.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\S3AFileSystem.java,,,,,
,,,,,,,,,S3AInstrumentation.java,ModificationType.MODIFY,"['S3AInstrumentation::S3GuardInstrumentation::directoryMarkedAuthoritative', 'S3AInstrumentation::S3GuardInstrumentation::entryAdded', 'S3AInstrumentation::getS3GuardInstrumentation']",27.0,18.0,841.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\S3AInstrumentation.java,,,,,
,,,,,,,,,Statistic.java,ModificationType.MODIFY,[],3.0,0.0,228.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\Statistic.java,,,,,
,,,,,,,,,AuthoritativeAuditOperation.java,ModificationType.ADD,"['AuthoritativeAuditOperation::verifyAuthDir', 'AuthoritativeAuditOperation::isDirectory', 'AuthoritativeAuditOperation::NonAuthoritativeDirException::getExitCode', 'AuthoritativeAuditOperation::NonAuthoritativeDirException::toString', 'AuthoritativeAuditOperation::executeAudit', 'AuthoritativeAuditOperation::NonAuthoritativeDirException::NonAuthoritativeDirException', 'AuthoritativeAuditOperation::audit', 'AuthoritativeAuditOperation::AuthoritativeAuditOperation']",255.0,0.0,136.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\AuthoritativeAuditOperation.java,,,,,
,,,,,,,,,BulkOperationState.java,ModificationType.MODIFY,[],16.0,2.0,25.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\BulkOperationState.java,,,,,
,,,,,,,,,DynamoDBMetadataStore.java,ModificationType.MODIFY,"['DynamoDBMetadataStore::innerPrune', 'DynamoDBMetadataStore::getInstrumentation', 'DynamoDBMetadataStore::logPut', 'DynamoDBMetadataStore::getBoolAttribute', 'DynamoDBMetadataStore::move', 'DynamoDBMetadataStore::initialize', 'DynamoDBMetadataStore::recordsRead', 'DynamoDBMetadataStore::put', 'DynamoDBMetadataStore::removeAuthoritativeDirFlag', 'DynamoDBMetadataStore::expiredFiles', 'DynamoDBMetadataStore::addAncestors', 'DynamoDBMetadataStore::recordsDeleted', 'DynamoDBMetadataStore::markAsAuthoritative', 'DynamoDBMetadataStore::AncestorState::getAncestry', 'DynamoDBMetadataStore::innerGet', 'DynamoDBMetadataStore::close', 'DynamoDBMetadataStore::prune', 'DynamoDBMetadataStore::recordsWritten', 'DynamoDBMetadataStore::completeAncestry', 'DynamoDBMetadataStore::innerPrune', 'DynamoDBMetadataStore::retryEvent']",237.0,64.0,1522.0,,hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3a\s3guard\DynamoDBMetadataStore.java,,,,,
