hash,author,author_date,committer,committer_date,msg,parents,num_of_files,num_of_modified_java_files,added_lines,deleted_lines,nloc,jira issue key,summary,issue type,status,resolution,code_smells,code_smells_diff,design_smells,design_smell_diff,architecture_smells,architecture_smell_diff
49df83899543586bbcaf80f01399ade031cf68b0,Steve Loughran,2020-01-09 18:22:04+00:00,Steve Loughran,2020-01-10 11:11:56+00:00,"HADOOP-16697. Tune/audit S3A authoritative mode.

Contains:

HADOOP-16474. S3Guard ProgressiveRenameTracker to mark destination
              dirirectory as authoritative on success.
HADOOP-16684. S3guard bucket info to list a bit more about
              authoritative paths.
HADOOP-16722. S3GuardTool to support FilterFileSystem.

This patch improves the marking of newly created/import directory
trees in S3Guard DynamoDB tables as authoritative.

Specific changes:

 * Renamed directories are marked as authoritative if the entire
   operation succeeded (HADOOP-16474).
 * When updating parent table entries as part of any table write,
   there's no overwriting of their authoritative flag.

s3guard import changes:

* new -verbose flag to print out what is going on.

* The ""s3guard import"" command lets you declare that a directory tree
is to be marked as authoritative

  hadoop s3guard import -authoritative -verbose s3a://bucket/path

When importing a listing and a file is found, the import tool queries
the metastore and only updates the entry if the file is different from
before, where different == new timestamp, etag, or length. S3Guard can get
timestamp differences due to clock skew in PUT operations.

As the recursive list performed by the import command doesn't retrieve the
versionID, the existing entry may in fact be more complete.
When updating an existing due to clock skew the existing version ID
is propagated to the new entry (note: the etags must match; this is needed
to deal with inconsistent listings).

There is a new s3guard command to audit a s3guard bucket/path's
authoritative state:

  hadoop s3guard authoritative -check-config s3a://bucket/path

This is primarily for testing/auditing.

The s3guard bucket-info command also provides some more details on the
authoritative state of a store (HADOOP-16684).

Change-Id: I58001341c04f6f3597fcb4fcb1581ccefeb77d91",['9da294a140a919d9ba648637d09340bccfd5edd6'],32.0,30.0,2393.0,358.0,13520.0,HADOOP-16697,audit/tune s3a authoritative flag in s3guard DDB Table,Sub-task,Resolved,Fixed,9175,0,1938.0,0.0,294.0,0.0
7dac7e1d13eaf0eac04fe805c7502dcecd597979,Vinayakumar B,2020-02-07 14:39:24+05:18,GitHub,2020-02-07 14:39:24+05:18,HADOOP-16596. [pb-upgrade] Use shaded protobuf classes from hadoop-thirdparty dependency (#1635). Contributed by Vinayakumar B.,['5944d28130925fe1452f545e96b5e44f064bc69e'],425.0,402.0,511.0,509.0,96834.0,HADOOP-16596,[pb-upgrade] Use shaded protobuf classes from hadoop-thirdparty dependency,Sub-task,Resolved,Fixed,9169,-6,1941.0,3.0,295.0,1.0
42dfd270a11419adcb189e8f3a6ddb8f19358088,Sahil Takiar,2020-02-24 08:28:00-08:00,GitHub,2020-02-24 16:28:00+00:00,"HADOOP-16859: ABFS: Add unbuffer support to ABFS connector.


Contributed by Sahil Takiar",['7f8685f4760f1358bb30927a7da9a5041e8c39e1'],5.0,4.0,236.0,21.0,494.0,HADOOP-16859,ABFS: Add unbuffer support to AbfsInputStream,Sub-task,Resolved,Fixed,9176,7,1942.0,1.0,295.0,0.0
5746533cde0065761a68a9b3e89ee01da6c8eeeb,Ayush Saxena,2020-04-09 23:17:48+05:18,Ayush Saxena,2020-04-09 23:18:28+05:18,HADOOP-16962. Making `getBoolean` log warning message for unrecognized value. Contributed by Ctest.,['061afcdf30ce10d04986672a0583d925d3f8f741'],1.0,1.0,5.0,1.0,2271.0,HADOOP-16962,Making `getBoolean` log warning message for unrecognized value,Bug,Resolved,Fixed,9179,3,1943.0,1.0,296.0,1.0
263c76b678275dfff867415c71ba9dc00a9235ef,Mingliang Liu,2020-04-30 14:13:21-07:00,Mingliang Liu,2020-04-30 14:15:28-07:00,"HADOOP-17011. Tolerate leading and trailing spaces in fs.defaultFS. Contributed by Ctest

Signed-off-by: Ayush Saxena <ayushsaxena@apache.org>",['6bdab3723eff78c79aa48c24aad87373b983fe6c'],9.0,9.0,16.0,11.0,4764.0,HADOOP-17011,Tolerate leading and trailing spaces in fs.defaultFS,Bug,Resolved,Fixed,9187,8,1948.0,5.0,296.0,0.0
e7dd02768b658b2a1f216fbedc65938d9b6ca6e9,Abhishek Das,2020-06-05 14:56:51-07:00,GitHub,2020-06-05 14:56:51-07:00,HADOOP-17029. Return correct permission and owner for listing on internal directories in ViewFs. Contributed by Abhishek Das.,['76fa0222f0d2e2d92b4a1eedba8b3e38002e8c23'],3.0,3.0,146.0,40.0,2273.0,HADOOP-17029,ViewFS does not return correct user/group and ACL,Bug,Resolved,Fixed,9204,17,1952.0,4.0,296.0,0.0
2f500e4635ea4347a55693b1a10a4a4465fe5fac,Madhusoodan Pataki,2020-07-06 20:43:42+05:18,GitHub,2020-07-06 16:25:42+01:00,"HADOOP-17081. MetricsSystem doesn't start the sink adapters on restart (#2089)


Contributed by Madhusoodan P",['639acb6d8921127cde3174a302f2e3d71b44f052'],2.0,2.0,26.0,1.0,1075.0,HADOOP-17081,MetricsSystem doesn't start the sink adapters on restart,Bug,Resolved,Fixed,9234,30,1969.0,17.0,296.0,0.0
2986058e7f6fa1b5aab259c64a745b2eedb2febe,sguggilam,2020-08-04 10:30:06-07:00,GitHub,2020-08-04 10:30:06-07:00,"HADOOP-17164. UGI loginUserFromKeytab doesn't set the last login time (#2178)

Contributed by Sandeep Guggilam.

Signed-off-by: Mingliang Liu <liuml07@apache.org>
Signed-off-by: Steve Loughran <stevel@apache.org>",['8fd4f5490f59a2e9e561b6438b30b3a7453c808b'],2.0,2.0,37.0,1.0,1886.0,HADOOP-17164,UGI loginUserFromKeytab doesn't set the last login time,Bug,Resolved,Fixed,9266,32,1972.0,3.0,296.0,0.0
12a316cdf9994feaa36c3ff7d13e67d70398a9f3,zz,2020-09-10 21:20:32-07:00,GitHub,2020-09-10 21:20:32-07:00,"HADOOP-15891. provide Regex Based Mount Point In Inode Tree (#2185). Contributed by Zhenzhao Wang.

Co-authored-by: Zhenzhao Wang <zhenzhaowang@gmail.com>",['9960c01a25c6025e81559a8cf32e9f3cea70d2cc'],14.0,13.0,1702.0,116.0,2917.0,HADOOP-15891,Provide Regex Based Mount Point In Inode Tree,New Feature,Resolved,Fixed,9296,30,1974.0,2.0,296.0,0.0
d0d10f7e8f998779ef11182c0f5c60fc8f729b39,Fei Hui,2020-10-04 01:02:28+08:00,GitHub,2020-10-04 02:02:28+09:00,HADOOP-17276. Extend CallerContext to make it include many items (#2327),['18fa4397e6dc7663bcc7c7309126f45eb8d3fa17'],8.0,7.0,166.0,10.0,1957.0,HADOOP-17276,Extend CallerContext to make it include many items,Improvement,Resolved,Fixed,9312,16,1981.0,7.0,297.0,1.0
