hash,author,author_date,committer,committer_date,msg,parents,num_of_files,num_of_modified_java_files,added_lines,deleted_lines,nloc,jira issue key,summary,issue type,status,resolution,code_smells,code_smells_diff,design_smells,design_smell_diff
49df83899543586bbcaf80f01399ade031cf68b0,Steve Loughran,2020-01-09 18:22:04+00:00,Steve Loughran,2020-01-10 11:11:56+00:00,"HADOOP-16697. Tune/audit S3A authoritative mode.

Contains:

HADOOP-16474. S3Guard ProgressiveRenameTracker to mark destination
              dirirectory as authoritative on success.
HADOOP-16684. S3guard bucket info to list a bit more about
              authoritative paths.
HADOOP-16722. S3GuardTool to support FilterFileSystem.

This patch improves the marking of newly created/import directory
trees in S3Guard DynamoDB tables as authoritative.

Specific changes:

 * Renamed directories are marked as authoritative if the entire
   operation succeeded (HADOOP-16474).
 * When updating parent table entries as part of any table write,
   there's no overwriting of their authoritative flag.

s3guard import changes:

* new -verbose flag to print out what is going on.

* The ""s3guard import"" command lets you declare that a directory tree
is to be marked as authoritative

  hadoop s3guard import -authoritative -verbose s3a://bucket/path

When importing a listing and a file is found, the import tool queries
the metastore and only updates the entry if the file is different from
before, where different == new timestamp, etag, or length. S3Guard can get
timestamp differences due to clock skew in PUT operations.

As the recursive list performed by the import command doesn't retrieve the
versionID, the existing entry may in fact be more complete.
When updating an existing due to clock skew the existing version ID
is propagated to the new entry (note: the etags must match; this is needed
to deal with inconsistent listings).

There is a new s3guard command to audit a s3guard bucket/path's
authoritative state:

  hadoop s3guard authoritative -check-config s3a://bucket/path

This is primarily for testing/auditing.

The s3guard bucket-info command also provides some more details on the
authoritative state of a store (HADOOP-16684).

Change-Id: I58001341c04f6f3597fcb4fcb1581ccefeb77d91",['9da294a140a919d9ba648637d09340bccfd5edd6'],32.0,30.0,2393.0,358.0,13520.0,HADOOP-16697,audit/tune s3a authoritative flag in s3guard DDB Table,Sub-task,Resolved,Fixed,9175,0,1938,0
c4fb43c94259546f2c96b50ceae9cd3adb726166,Daryn Sharp,2020-01-10 10:31:39-06:00,Jonathan Eagles,2020-01-10 10:31:39-06:00,"HADOOP-16749. Configuration parsing of CDATA values are blank

Signed-off-by: Jonathan Eagles <jeagles@gmail.com>",['49df83899543586bbcaf80f01399ade031cf68b0'],2.0,2.0,38.0,0.0,4405.0,HADOOP-16749,Configuration parsing of CDATA values are blank,Bug,Resolved,Fixed,0,0,,
e589f6199c562cb1e478a38f5f2c5dee94880258,Eric Yang,2020-01-10 14:32:02-05:00,Eric Yang,2020-01-10 14:33:12-05:00,"HADOOP-16590.  Update OS login modules for IBM JDK.
               Contributed by Nicholas Marion

Close #1484",['5fb901ac4017b4f13b089ecd920e864cd53ad3a6'],1.0,1.0,4.0,24.0,1448.0,HADOOP-16590,IBM Java has deprecated OS login module classes and OS principal classes.,Bug,Resolved,Fixed,0,0,,
5d180463dcb689fa3b7c69b097a86398a03b41ad,David Mollitor,2020-01-15 18:38:34+00:00,Steve Loughran,2020-01-15 18:38:34+00:00,"HADOOP-16790. Add Write Convenience Methods.

Contributed by David Mollitor.

This adds operations in FileUtil to write text to a file via
either a FileSystem or FileContext instance.

Change-Id: I5fe8fcf1bdbdbc734e137f922a75a822f2b88410",['2aa065d98f36527d7769c9c58a923a706036391d'],2.0,2.0,414.0,0.0,2317.0,HADOOP-16790,Add Write Convenience Methods,New Feature,Resolved,Fixed,0,0,,
edbbc03ce7d479f1b84d9209021e9d2822909cfe,Vinayakumar B,2020-01-16 23:15:50+05:18,GitHub,2020-01-16 23:15:50+05:18,HADOOP-16621. [pb-upgrade] Remove Protobuf classes from signatures of Public APIs. Contributed by Vinayakumar B. (#1803),['a0ff42d7612e744e0bf88aa14078ea3ab6bcce49'],6.0,4.0,78.0,69.0,3758.0,HADOOP-16621,[pb-upgrade] Remove Protobuf classes from signatures of Public APIs,Sub-task,Resolved,Fixed,0,0,,
1defe3a65af5faf5117978f4f2cf6a24d17a2e76,Akira Ajisaka,2020-01-21 10:58:32+09:00,Akira Ajisaka,2020-01-21 10:58:32+09:00,HADOOP-16753. Refactor HAAdmin. Contributed by Xieming Li.,['6a859d33aa77260a4329035066c7c63c02df0fcd'],4.0,4.0,296.0,199.0,1607.0,HADOOP-16753,Refactor HAAdmin,Improvement,Resolved,Fixed,0,0,,
f206b736f0b370d212a399937c7a84e432f12eb5,Sahil Takiar,2020-01-21 16:37:51+00:00,Steve Loughran,2020-01-21 16:37:51+00:00,"HADOOP-16346. Stabilize S3A OpenSSL support.

Introduces `openssl` as an option for `fs.s3a.ssl.channel.mode`.
The new option is documented and marked as experimental.

For details on how to use this, consult the peformance document
in the s3a documentation.

This patch is the successor to HADOOP-16050 ""S3A SSL connections
should use OpenSSL"" -which was reverted because of
incompatibilities between the wildfly OpenSSL client and the AWS
HTTPS servers (HADOOP-16347). With the Wildfly release moved up
to 1.0.7.Final (HADOOP-16405) everything should now work.

Related issues:

* HADOOP-15669. ABFS: Improve HTTPS Performance
* HADOOP-16050: S3A SSL connections should use OpenSSL
* HADOOP-16371: Option to disable GCM for SSL connections when running on Java 8
* HADOOP-16405: Upgrade Wildfly Openssl version to 1.0.7.Final

Contributed by Sahil Takiar

Change-Id: I80a4bc5051519f186b7383b2c1cea140be42444e",['d887e49dd4ed2b94bbb53b7608586f5da6cee037'],9.0,3.0,24.0,8.0,475.0,HADOOP-16346,Stabilize S3A OpenSSL support,Sub-task,Resolved,Fixed,0,0,,
5e2ce370a322a46b496541ccd17443197fcfeb5a,Steve Loughran,2020-01-21 22:31:51+00:00,Mingliang Liu,2020-01-21 14:31:51-08:00,"HADOOP-16759. Filesystem openFile() builder to take a FileStatus param (#1761). Contributed by Steve Loughran

* Enhanced builder + FS spec
* s3a FS to use this to skip HEAD on open
* and to use version/etag when opening the file

works with S3AFileStatus FS and S3ALocatedFileStatus",['0696828a090bc06446f75b29c967697f1d6d845b'],18.0,16.0,487.0,134.0,11821.0,HADOOP-16759,Filesystem openFile() builder to take a FileStatus param,Sub-task,Resolved,Fixed,0,0,,
839e6076c1db0ed7dee32ba917a03c37ea65dc7c,Steve Loughran,2020-01-24 18:50:16+00:00,Mingliang Liu,2020-01-24 10:50:16-08:00,"HADOOP-16827. TestHarFileSystem.testInheritedMethodsImplemented broken. (#1817)

This is a regression caused by HADOOP-16759.

The test TestHarFileSystem uses introspection to verify that HarFileSystem
Does not implement methods to which there is a suitable implementation in
the base FileSystem class. Because of the way it checks this, refactoring
(protected) FileSystem methods in an IDE do not automatically change
the probes in TestHarFileSystem.

The changes in HADOOP-16759 did exactly that, and somehow managed
to get through the build/test process without this being noticed.

This patch fixes that failure.

Caused by and fixed by Steve Loughran.

Change-Id: If60d9c97058242871c02ad1addd424478f84f446

Signed-off-by: Mingliang Liu <liuml07@apache.org>",['d10f77e3c91225f86ed9c0f0e6a9adf2e1434674'],1.0,1.0,3.0,6.0,307.0,HADOOP-16827,TestHarFileSystem.testInheritedMethodsImplemented broken,Sub-task,Resolved,Fixed,0,0,,
1afd54fbbb858a58112e6290b3063216eea82206,belugabehr,2020-01-25 10:12:21-05:00,Ayush Saxena,2020-01-25 20:30:21+05:18,HADOOP-16811: Use JUnit TemporaryFolder Rule in TestFileUtils (#1811). Contributed by David Mollitor.,['6d008c0d39185f18dbec4676f4d0e7ef77104eb7'],1.0,1.0,65.0,156.0,1072.0,HADOOP-16811,Use JUnit TemporaryFolder Rule in TestFileUtils,Improvement,Resolved,Fixed,0,0,,
